Playlist ID,URI,Album,Song Name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
45.0,72jCZdH0Lhg93z6Z4hBjgj,Red,I Knew You Were Trouble.,0.622,0.469,3.0,-6.798,0.0,0.0363,0.00454,2.25e-06,0.0398,0.679,77.019,217973.0,4.0
46.0,4XMP3zVxrnr58T0tjIHvpR,Red,All Too Well,0.602,0.609,0.0,-7.803,1.0,0.0243,0.0382,0.0002,0.127,0.337,93.06,327893.0,4.0
47.0,2ULNeSomDxVNmdDy8VxEBU,Red,22,0.658,0.729,7.0,-6.561,1.0,0.0378,0.00215,0.0013,0.0752,0.668,104.007,230133.0,4.0
48.0,5VwFkx7JOimOGTYfha5rs1,Red,I Almost Do,0.567,0.481,4.0,-7.357,1.0,0.027,0.0173,4.13e-05,0.182,0.233,145.865,242573.0,4.0
49.0,7AEAGTc8cReDqcbPoY9gwo,Red,We Are Never Ever Getting Back Together,0.628,0.676,7.0,-5.911,1.0,0.0916,0.00957,2.65e-05,0.102,0.75,85.984,191880.0,4.0
50.0,1qLeEu4iXEclkLwoBlMiou,Red,Stay Stay Stay,0.729,0.748,0.0,-6.67,1.0,0.0245,0.307,1.29e-06,0.09,0.928,99.981,204827.0,4.0
51.0,3n9mzjgAzjyKawvbHzciXF,Red,The Last Time,0.505,0.443,2.0,-7.039,1.0,0.0276,0.035,3.15e-06,0.0921,0.123,94.069,298293.0,4.0
52.0,1fGsZsIkQkOspfsT24nQP6,Red,Holy Ground,0.627,0.816,4.0,-6.698,1.0,0.0774,0.0162,0.00208,0.0966,0.648,157.043,201853.0,4.0
53.0,6LKjHhOW1az75pCQ9XJJtF,Red,Sad Beautiful Tragic,0.624,0.34,7.0,-12.411,1.0,0.029,0.632,0.0337,0.121,0.261,129.987,283680.0,3.0
54.0,2X2J0BhxaLTmnxO4pPUhSd,Red,The Lucky One,0.706,0.499,4.0,-7.675,1.0,0.0369,0.0371,0.0,0.132,0.545,117.937,240133.0,4.0
55.0,4NAmRvqSITAAzKWnC8yRq3,Red,Everything Has Changed,0.624,0.458,6.0,-6.755,1.0,0.0287,0.36,3.89e-06,0.303,0.436,80.017,243933.0,4.0
56.0,7MecVsMj22MneZt7kVFaCr,Red,Starlight,0.649,0.777,9.0,-5.804,1.0,0.0406,0.0213,0.000335,0.221,0.587,126.018,217827.0,4.0
